                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0386,                 2.2271,                 1.0423,                      1,                0.13409,                0.63434,                0.47561,                0.83605,                 3.3454,                0.91923,                  8e-05,                  8e-05,                  8e-05
                      2,                0.82283,                 1.8458,                 0.9352,                0.00797,                0.97403,                0.90101,                0.65453,                0.77669,                 3.1424,                0.86217,             0.00017644,             0.00017644,             0.00017644
                      3,                0.96721,                 1.6101,                0.98532,                      1,                0.03818,                0.57033,                0.43352,                0.89893,                 3.5568,                0.99443,             0.00026891,             0.00026891,             0.00026891
                      4,                0.93121,                 1.4872,                 1.0079,                      1,                0.10766,                0.72498,                0.54991,                0.80233,                 3.2993,                0.92639,             0.00035743,             0.00035743,             0.00035743
                      5,                0.92073,                 1.4388,                  1.031,                      1,                0.16527,                0.62431,                0.45045,                0.84705,                  3.375,                0.93382,             0.00044198,             0.00044198,             0.00044198
                      6,                0.98268,                 1.4828,                0.99093,                0.96543,                0.25974,                0.66816,                 0.4641,                0.94123,                 3.3737,                0.97692,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.0046,                 1.3921,                0.99338,                      1,                0.23316,                 0.8598,                 0.6362,                0.87845,                 3.1993,                0.98097,             0.00059922,             0.00059922,             0.00059922
                      8,                0.94811,                  1.392,                 1.0087,                      1,                0.24715,                 0.7965,                0.60056,                 0.9135,                 3.1532,                0.99881,             0.00067189,             0.00067189,             0.00067189
                      9,                0.96901,                 1.3326,                 1.0209,                0.82796,                0.62505,                0.76182,                 0.5325,                0.86906,                 2.9835,                 1.0133,             0.00074061,             0.00074061,             0.00074061
                     10,                0.97154,                 1.3561,                  1.004,                0.62737,                0.42857,                0.56776,                0.35413,                 1.1054,                 3.2048,                 1.0794,             0.00080536,             0.00080536,             0.00080536
                     11,                0.98728,                 1.2959,                 1.0411,                0.77417,                0.75688,                0.76996,                0.58267,                0.80287,                  2.809,                0.97431,             0.00086616,             0.00086616,             0.00086616
                     12,                0.89328,                 1.3205,                 1.0079,                0.75217,                 0.7013,                0.78827,                0.52084,                  1.047,                 2.7091,                 1.0734,               0.000923,               0.000923,               0.000923
                     13,                0.95296,                 1.2398,                 1.0269,                0.77626,                0.77922,                0.82951,                0.61029,                0.88938,                 2.5435,                 1.0228,             0.00097587,             0.00097587,             0.00097587
                     14,                0.89086,                 1.1792,                0.98233,                0.68258,                0.72727,                0.72394,                0.51711,                0.91598,                 2.4779,                 1.0216,              0.0010248,              0.0010248,              0.0010248
                     15,                 0.9518,                 1.2277,                 1.0205,                0.76764,                0.79221,                0.86527,                0.62161,                0.94653,                 2.1346,                 1.0458,              0.0010697,              0.0010697,              0.0010697
                     16,                0.89614,                 1.2325,                 1.0429,                0.71666,                0.82123,                 0.8217,                0.63128,                0.84163,                 2.1585,                0.99515,              0.0011107,              0.0011107,              0.0011107
                     17,                0.91997,                 1.2995,                 1.0381,                0.73679,                0.80519,                 0.7622,                0.55715,                0.93299,                 2.2163,                 1.0012,              0.0011478,              0.0011478,              0.0011478
                     18,                 1.0278,                 1.1928,                 1.0788,                0.83493,                0.87013,                0.85632,                0.63528,                 0.9363,                 1.9378,                 1.0151,              0.0011809,              0.0011809,              0.0011809
